Gene	Module
TNFRSF12A	geneM5
DLX6	geneM23
MAP3K9	geneM1
RALA	geneM0
BAIAP2L1	geneM0
JHDM1D	geneM0
ETV1	geneM0
AGK	geneM1
ALDH3B1	geneM3
TTC22	geneM0
PHTF2	geneM7
CCL26	geneM0
FARP2	geneM2
USH1C	geneM2
GGCT	geneM1
DBF4	geneM28
TBXA2R	geneM0
IFRD1	geneM10
COX10	geneM0
GTF2IRD1	geneM5
PAF1	geneM11
VPS41	geneM0
ARHGAP44	geneM1
ELAC2	geneM9
SCIN	geneM6
ARSD	geneM3
PNPLA4	geneM4
ADIPOR2	geneM2
CDKL3	geneM0
UPP2	geneM13
MARK4	geneM7
PROM1	geneM26
CCDC124	geneM0
CEACAM21	geneM6
PAFAH1B1	geneM1
NOS2	geneM1
DNAH9	geneM1
KIAA0100	geneM25
GAS7	geneM1
TRAPPC6A	geneM4
MATK	geneM12
CD79B	geneM0
ST7L	geneM0
TKTL1	geneM5
PAX6	geneM3
RPUSD1	geneM12
RHBDF1	geneM3
LUC7L	geneM8
CACNA2D2	geneM1
BAIAP3	geneM0
TSR3	geneM11
PIGQ	geneM8
CRAMP1L	geneM20
TEAD3	geneM5
SELE	geneM5
DNAJC11	geneM0
FMO3	geneM0
MYLIP	geneM2
PSMB1	geneM0
SYN1	geneM7
JARID2	geneM3
CDKL5	geneM0
CAMK1G	geneM1
CDK11A	geneM11
NADK	geneM30
DLEC1	geneM3
CYTH3	geneM0
ADAM22	geneM1
SYPL1	geneM2
CYB561	geneM0
SPAG9	geneM2
CELSR3	geneM1
AASS	geneM3
SS18L2	geneM0
MPND	geneM0
MGST1	geneM3
CRY1	geneM5
PGLYRP1	geneM0
NFIX	geneM2
ST3GAL1	geneM0
MMP25	geneM0
IL32	geneM5
PKD1	geneM12
MAPK8IP2	geneM12
MED24	geneM0
RHOBTB2	geneM12
HEATR5B	geneM9
SEC62	geneM2
RPS20	geneM15
CSDE1	geneM19
UBE3C	geneM0
REV3L	geneM28
TENM1	geneM16
PAX7	geneM1
MASP2	geneM0
FAM76A	geneM4
TRAF3IP3	geneM6
POMT2	geneM2
VTA1	geneM16
MLXIPL	geneM1
BAZ1B	geneM11
RANBP9	geneM1
ETV7	geneM0
SPRTN	geneM2
METTL13	geneM0
DYRK4	geneM0
ZNF207	geneM7
UQCRC1	geneM9
STARD3NL	geneM0
CD9	geneM2
HHATL	geneM2
NCAPD2	geneM2
IFFO1	geneM1
GIPR	geneM2
PHF7	geneM0
SEMA3G	geneM26
NISCH	geneM1
STAB1	geneM6
FUZ	geneM2
SLC6A13	geneM27
IDS	geneM7
PRSS3	geneM1
ZNF200	geneM0
CD4	geneM6
LRRC23	geneM0
BTK	geneM6
HFE	geneM3
SCMH1	geneM0
FYN	geneM3
HIVEP2	geneM1
TCEB3	geneM0
LYPLA2	geneM0
CLCN6	geneM7
MRC2	geneM2
NME2	geneM0
SLC6A7	geneM1
TSPAN9	geneM0
BTBD7	geneM3
APBA3	geneM10
MKS1	geneM0
ABHD5	geneM3
KAL1	geneM3
AKAP8L	geneM11
MBTD1	geneM2
UTP18	geneM0
RNF216	geneM0
TTC19	geneM4
PTBP1	geneM6
DPF1	geneM0
SYT7	geneM1
LARS2	geneM3
PIK3C2A	geneM3
PLAUR	geneM5
ANLN	geneM2
WIZ	geneM17
RABGAP1	geneM0
DCN	geneM27
QPCTL	geneM8
PPP5C	geneM0
CEP68	geneM4
MAP4K3	geneM0
ZBTB32	geneM0
TYROBP	geneM6
TMEM159	geneM0
GABRA3	geneM7
BRCA1	geneM2
ERCC1	geneM0
CD22	geneM2
SEMA3B	geneM2
MBTPS2	geneM4
PRICKLE3	geneM3
LTF	geneM5
EXTL3	geneM0
ELOVL5	geneM3
ALOX5	geneM6
KDM5D	geneM0
CALCOCO1	geneM25
UBR7	geneM7
MAP4K5	geneM2
EHD3	geneM1
PSMC4	geneM9
MAN2B2	geneM7
SLC7A14	geneM1
CLDN11	geneM2
SLC25A39	geneM30
MVP	geneM5
NUB1	geneM0
PGM3	geneM3
RWDD2A	geneM1
CLK1	geneM10
POLR3B	geneM0
ANGEL1	geneM1
RNF14	geneM1
DNASE1L1	geneM0
DDX11	geneM0
HEBP1	geneM2
GPRC5A	geneM5
MAMLD1	geneM7
CD6	geneM0
TACC3	geneM0
UFL1	geneM4
POLA2	geneM2
ZC3H3	geneM7
CAPN1	geneM0
ACPP	geneM6
MDH1	geneM1
SLC30A9	geneM8
MTMR11	geneM10
COX15	geneM4
CCDC88C	geneM31
YAF2	geneM7
ZMYND11	geneM14
WAS	geneM6
BID	geneM0
MATR3	geneM16
XYLT2	geneM3
RGPD5	geneM0
STMN4	geneM2
NUDCD3	geneM9
CHDH	geneM3
IL20RA	geneM3
CLCA4	geneM2
GLT8D1	geneM4
ATP2C1	geneM0
SRCIN1	geneM2
IGF1	geneM23
SLC38A5	geneM26
MAGIX	geneM0
RALBP1	geneM0
RUFY3	geneM16
CNTN1	geneM0
SLC11A1	geneM5
WWTR1	geneM5
AGPS	geneM18
ZNF806	geneM2
CXorf56	geneM9
ATP1A2	geneM3
TTC27	geneM0
ZNF582	geneM0
VSIG2	geneM1
PHLDB1	geneM2
MARCO	geneM0
CYP24A1	geneM1
PRDM11	geneM1
SYT13	geneM1
SNAI2	geneM0
CD74	geneM6
HGF	geneM3
ZRANB1	geneM9
NCDN	geneM1
GPR124	geneM26
ZFP64	geneM2
MNAT1	geneM8
SAMD4A	geneM5
RUNX3	geneM0
MRE11A	geneM0
PLEKHB1	geneM2
SERPINB1	geneM5
CYP3A43	geneM0
SLC7A9	geneM0
SPAST	geneM2
NRXN3	geneM1
OSBPL5	geneM0
AQR	geneM3
CPS1	geneM2
FHL1	geneM13
RTFDC1	geneM19
GABRA1	geneM1
NLRP2	geneM1
SLC45A4	geneM1
RNF10	geneM7
ZNF839	geneM4
ZDHHC6	geneM0
GRAMD1B	geneM1
RNH1	geneM2
NDUFS1	geneM0
RB1CC1	geneM12
ERP44	geneM0
ALAS1	geneM0
BIRC3	geneM5
AKAP11	geneM7
GLRX2	geneM1
SNAPC1	geneM0
DERA	geneM3
STRAP	geneM7
DEF6	geneM6
PLEKHO1	geneM0
GCLM	geneM17
UBR2	geneM10
EHD2	geneM0
DEPDC1	geneM0
CCDC28A	geneM1
RRAGD	geneM3
HSF2	geneM28
PHF20	geneM1
HSD17B6	geneM3
NR1H3	geneM0
TYMP	geneM5
NCAPH2	geneM4
TOMM34	geneM1
SEC63	geneM7
KPNA6	geneM7
VIM	geneM3
RTEL1-TNFRSF6B	geneM8
FAS	geneM3
RNASET2	geneM6
CD44	geneM5
KCNG1	geneM31
AGPAT4	geneM2
BTN3A1	geneM32
MIPEP	geneM0
PRKCH	geneM5
IFNGR1	geneM6
B4GALT7	geneM0
SH2D2A	geneM0
VRK2	geneM2
TNFRSF1B	geneM6
VEZT	geneM8
POU2F2	geneM0
BRD9	geneM0
SNX1	geneM2
TBPL1	geneM17
ARNTL2	geneM0
BCLAF1	geneM20
SLC39A9	geneM2
ANK1	geneM1
TFB1M	geneM1
RABEP1	geneM11
HMGB3	geneM4
NUP160	geneM3
BAK1	geneM0
IKZF2	geneM3
GRN	geneM6
FAM13B	geneM0
ARHGAP31	geneM3
NR2E3	geneM0
CENPQ	geneM2
SARS	geneM9
RANBP3	geneM0
ARID4A	geneM11
TSSC1	geneM4
PNPLA6	geneM0
IFT88	geneM2
ALG1	geneM4
ZCCHC8	geneM10
ABCF2	geneM9
CHPF2	geneM0
LRRC7	geneM16
FUT8	geneM2
UBA6	geneM18
GAB2	geneM2
ATP6V0A1	geneM7
PIAS1	geneM7
SLC4A7	geneM0
APBA2	geneM9
UHRF1	geneM3
MAP2K3	geneM5
EFCAB1	geneM0
TMSB10	geneM0
ASTE1	geneM4
RNF19A	geneM0
PEX3	geneM4
GABARAPL2	geneM7
SH3YL1	geneM0
FAM136A	geneM0
VCL	geneM5
DEPDC1B	geneM0
DAPK2	geneM2
NSMAF	geneM8
ADSS	geneM1
TIMP2	geneM18
RFC1	geneM2
TBC1D23	geneM0
CUL3	geneM7
MYOM2	geneM1
OTC	geneM0
CYP46A1	geneM1
ZZZ3	geneM2
USP2	geneM7
TUBG2	geneM7
RPL26L1	geneM15
FLT4	geneM0
NSUN2	geneM0
FBXO42	geneM13
MFAP3	geneM10
MRI1	geneM4
METTL1	geneM0
AGA	geneM2
PI4K2B	geneM3
BOD1L1	geneM11
MAT2B	geneM7
TLL1	geneM0
EDC4	geneM0
TRIO	geneM0
VCAN	geneM3
CLEC16A	geneM4
MSR1	geneM6
CDH1	geneM2
SKIV2L2	geneM11
DNAH5	geneM0
ZFYVE16	geneM2
FAM65A	geneM7
RAI14	geneM18
PNKP	geneM4
PHLPP2	geneM1
SPDL1	geneM0
STAU2	geneM1
PQLC2	geneM0
CTNS	geneM3
RTN4R	geneM1
PHF23	geneM10
CDH10	geneM22
INPP4A	geneM1
RAB27B	geneM16
PSMA4	geneM8
MYO16	geneM18
LSG1	geneM0
PARP3	geneM0
TNC	geneM3
THAP3	geneM0
FAM65C	geneM0
TDP1	geneM4
AIFM2	geneM3
SPATA7	geneM0
MED17	geneM0
RETSAT	geneM2
CAPG	geneM3
AP2S1	geneM1
USH2A	geneM1
TG	geneM0
ADAM28	geneM6
BARX2	geneM0
DCUN1D1	geneM2
PHF15	geneM1
ZIC2	geneM3
LCP2	geneM6
TRIT1	geneM8
ADRB1	geneM0
CUL7	geneM0
CTNNA1	geneM5
PHKA2	geneM4
CNTLN	geneM3
EPHA3	geneM8
HSPA5	geneM10
DSG2	geneM0
GEMIN8	geneM0
OFD1	geneM0
GPM6B	geneM3
PREX2	geneM3
WDR37	geneM1
YTHDC2	geneM1
CTPS2	geneM3
ATP6V1H	geneM9
POLR2B	geneM19
FAM214A	geneM4
ARAP2	geneM2
TPR	geneM11
CP	geneM5
KIAA0556	geneM0
DTNBP1	geneM1
XK	geneM1
ANO2	geneM0
C12orf4	geneM0
SCML1	geneM28
WWC3	geneM2
ARHGAP6	geneM0
FAM184B	geneM18
MAP4	geneM2
GOPC	geneM1
ROS1	geneM1
USP28	geneM24
HDAC9	geneM0
TSPAN17	geneM21
NOP16	geneM0
CC2D2A	geneM3
RRM2B	geneM0
ZNF800	geneM0
SNX29	geneM18
LMO3	geneM16
MRPS10	geneM0
GUCA1A	geneM0
RSF1	geneM11
VPS13D	geneM19
CELF2	geneM1
FAM120A	geneM0
R3HDM1	geneM1
COL9A2	geneM2
KITLG	geneM31
ERCC8	geneM4
ADAMTS6	geneM0
H6PD	geneM4
VAMP3	geneM2
PER3	geneM0
EPN3	geneM1
LTBP1	geneM3
RCN1	geneM3
ELN	geneM3
RFC2	geneM0
ARID1B	geneM0
CLPTM1L	geneM25
NEDD4L	geneM1
FOXP3	geneM4
PPP1R3F	geneM12
HEXB	geneM0
PTCD2	geneM0
KIAA2022	geneM16
JKAMP	geneM0
DKK3	geneM13
ARHGEF5	geneM0
NFE2L3	geneM2
MCUR1	geneM0
LIMA1	geneM18
LETMD1	geneM9
SLC4A8	geneM1
LAMC3	geneM0
PTGER3	geneM0
TNIP3	geneM2
MAPK9	geneM1
COL23A1	geneM0
BCAR1	geneM2
FAM160A2	geneM1
HERPUD1	geneM0
HOMER3	geneM2
RAD51	geneM0
POLQ	geneM0
PIK3CB	geneM7
CYBA	geneM6
THOC3	geneM0
HEBP2	geneM3
MPHOSPH9	geneM8
PLEKHA5	geneM13
SIKE1	geneM0
RRP12	geneM1
FNIP2	geneM1
MSMO1	geneM0
TTC17	geneM14
ALX4	geneM27
FSTL4	geneM1
FOXN3	geneM3
METTL24	geneM0
AKR7A2	geneM3
MRTO4	geneM8
NNAT	geneM16
USE1	geneM2
MCF2L2	geneM12
NRIP2	geneM2
LAMA3	geneM8
AP5M1	geneM7
ANAPC4	geneM8
KCNQ1	geneM6
TRAPPC3	geneM9
THRAP3	geneM19
PHPT1	geneM15
ENTPD2	geneM3
LY75	geneM6
ARID4B	geneM11
OPN3	geneM1
SDCCAG8	geneM11
PTPRN	geneM1
HHAT	geneM0
KIF1B	geneM29
FOXC1	geneM27
TBC1D22A	geneM0
SYNE2	geneM27
PLEKHH1	geneM2
ATP9A	geneM1
CBLN4	geneM1
CHRDL2	geneM0
FAM168A	geneM4
RELT	geneM20
GALC	geneM2
NOP58	geneM11
SZRD1	geneM3
KCNH2	geneM1
CUL1	geneM9
FAM114A2	geneM0
CYFIP2	geneM7
TAB2	geneM5
GINM1	geneM4
EIF2AK2	geneM32
USP36	geneM0
KMT2C	geneM2
MCOLN3	geneM0
CCDC85A	geneM0
PUM2	geneM1
MRPL43	geneM2
ITIH4	geneM8
C4orf27	geneM0
ZFR	geneM0
ZNF280C	geneM4
NPFFR2	geneM2
PHF21B	geneM3
TRAF1	geneM2
RC3H2	geneM0
PCGF2	geneM7
IL17RB	geneM3
TRAF3IP2	geneM3
GYG2	geneM0
DCBLD2	geneM1
SOAT1	geneM5
PKP2	geneM23
MSH4	geneM0
F7	geneM1
GDI2	geneM20
PRDM1	geneM0
ATG5	geneM24
TMCC3	geneM2
PITHD1	geneM9
MTA3	geneM1
USP13	geneM4
ATP11B	geneM0
CDK14	geneM1
SEC61A1	geneM5
PPP1R12A	geneM0
RASGRF1	geneM2
CAMK2B	geneM9
CROCC	geneM14
POLR3E	geneM9
ATP2B4	geneM0
ZC3H11A	geneM10
RIOK2	geneM0
YIPF1	geneM0
NDC1	geneM0
DGKG	geneM0
FLYWCH1	geneM0
UNKL	geneM0
TBXAS1	geneM6
PARP12	geneM32
ALDH18A1	geneM3
TARBP1	geneM8
PET112	geneM25
MXD1	geneM10
CDK17	geneM1
DNAJC25	geneM0
SLC2A3	geneM5
PSD	geneM12
CTDP1	geneM14
YBX3	geneM5
STYK1	geneM1
WNK1	geneM2
CCAR1	geneM11
OGFR	geneM14
GNA15	geneM1
CREB3L3	geneM1
PIGV	geneM0
PTPRU	geneM2
SNRNP40	geneM2
RIMBP2	geneM1
COL11A1	geneM8
QSER1	geneM3
MPC1	geneM2
ACAA1	geneM0
BCAT1	geneM0
HDAC7	geneM5
LZTS1	geneM12
PRDM6	geneM0
WNT8A	geneM0
SPAG4	geneM0
NCKAP1	geneM1
MRPS35	geneM0
GUCY1B3	geneM1
SFSWAP	geneM8
TNK2	geneM12
MON2	geneM2
CDH3	geneM28
ARSF	geneM3
GPBP1	geneM10
DGAT2	geneM1
ZNF112	geneM0
CS	geneM7
LTK	geneM1
MRPS24	geneM0
ELMO2	geneM29
WAPAL	geneM3
VMP1	geneM5
APPBP2	geneM2
POLD1	geneM0
SEZ6	geneM0
EIF4B	geneM0
SLC6A16	geneM0
GLTSCR1	geneM0
SPHK2	geneM1
RPL18	geneM15
CA11	geneM12
ISOC2	geneM0
U2AF2	geneM0
EPN1	geneM7
MED29	geneM4
AHRR	geneM0
ZNF275	geneM4
MTMR1	geneM0
GPC1	geneM4
ADCK1	geneM2
HAGH	geneM9
RNF4	geneM20
CASP8	geneM6
LIMCH1	geneM2
ASUN	geneM2
TM7SF3	geneM22
SPA17	geneM0
TSPAN32	geneM0
WISP2	geneM4
DMRT3	geneM1
ST3GAL6	geneM1
ATP2C2	geneM0
NGFR	geneM5
CDON	geneM0
TAF2	geneM0
HIPK2	geneM2
TNPO3	geneM10
MEF2BNB-MEF2B	geneM2
RFXANK	geneM3
TMEM161A	geneM0
LPAR2	geneM0
CTSA	geneM0
SUGP2	geneM8
SLC12A2	geneM2
SNX24	geneM2
EYA2	geneM3
CNN2	geneM5
ABCA7	geneM25
SNCAIP	geneM3
DDX20	geneM0
BTBD1	geneM0
FAR2	geneM1
BCAS1	geneM2
CHI3L2	geneM5
SBNO2	geneM5
PMS1	geneM25
HMG20B	geneM3
CALCRL	geneM3
TAF11	geneM0
ANKS1A	geneM0
AP3D1	geneM0
ZNF76	geneM8
SLC9A3R2	geneM0
NTHL1	geneM2
UHRF1BP1	geneM0
GNAI3	geneM5
IPO5	geneM1
OAT	geneM9
WDR3	geneM19
PKN2	geneM3
WDR18	geneM0
TRAM2	geneM0
NTN1	geneM3
GLP2R	geneM1
DGKA	geneM1
ERBB3	geneM2
ROPN1	geneM0
ANKRD44	geneM18
KARS	geneM19
ADAT1	geneM2
PDIA5	geneM0
TBC1D22B	geneM0
NDUFB4	geneM33
SPEN	geneM11
MYLK	geneM3
ZC3H15	geneM0
MAP2K4	geneM1
TMEM206	geneM2
SNAP91	geneM1
SLK	geneM0
CYB5R4	geneM1
COL17A1	geneM3
GSTO2	geneM0
SEC61A2	geneM1
PRKCQ	geneM2
TLE2	geneM0
ASB1	geneM2
FAM107B	geneM2
ME1	geneM0
TBC1D1	geneM13
CDK13	geneM14
MTHFD2	geneM5
SLC9A7	geneM0
FOXJ2	geneM7
YBX1	geneM18
PDE4A	geneM7
PPP2R5A	geneM0
CTNNA2	geneM3
ELAVL1	geneM7
TIE1	geneM0
DIP2B	geneM2
SMARCD1	geneM7
KDM4A	geneM19
NFYC	geneM0
ZMYND12	geneM4
SLC9A3	geneM0
NGEF	geneM1
ASPM	geneM0
CD84	geneM6
ELOVL1	geneM2
SPI1	geneM6
ZNRD1	geneM0
MPPED2	geneM0
ZBTB11	geneM10
ATXN3	geneM0
GOLGA5	geneM20
FGFR2	geneM3
LRRC40	geneM8
ISOC1	geneM18
EML1	geneM2
TRMT11	geneM4
THUMPD1	geneM14
MSANTD3	geneM11
KIF26A	geneM26
ATG2B	geneM9
ARFGEF1	geneM22
ZFAT	geneM0
MTFR1	geneM2
STAG3	geneM2
FECH	geneM4
MYO9A	geneM13
DDX3Y	geneM0
PFKP	geneM9
IDI1	geneM0
SP100	geneM6
KLF6	geneM5
PPAP2A	geneM0
NEO1	geneM3
TRAM1	geneM3
PHKA1	geneM3
TNFRSF1A	geneM5
CACNB1	geneM1
EVI5	geneM2
STOML1	geneM8
PKM	geneM9
DHX29	geneM20
DNTTIP2	geneM0
METTL22	geneM1
TP53BP1	geneM19
TRO	geneM9
RRP15	geneM4
RHOA	geneM3
DHX8	geneM19
PMS2P4	geneM4
PRKCZ	geneM8
ZFY	geneM0
IARS2	geneM0
SYT1	geneM1
NAV3	geneM16
IDH3G	geneM7
ROGDI	geneM2
PDZD4	geneM12
ATP2B3	geneM1
ROCK1	geneM11
CBFB	geneM5
PDK3	geneM1
HYAL2	geneM5
HDAC4	geneM0
RASSF1	geneM20
FGFR3	geneM3
IFI35	geneM32
HEATR6	geneM29
COASY	geneM1
PLEKHH3	geneM30
MEF2A	geneM7
OTUD5	geneM0
TFE3	geneM5
TBC1D25	geneM7
ACSL4	geneM16
INPP5A	geneM1
GPKOW	geneM0
GRIPAP1	geneM9
FTSJ1	geneM0
PRR11	geneM0
REEP1	geneM1
ATP11A	geneM0
POLR1A	geneM0
LAPTM4A	geneM3
TTC7A	geneM2
IP6K2	geneM0
SRBD1	geneM4
CYFIP1	geneM6
KIF2A	geneM2
RASGRP2	geneM0
PSME4	geneM2
IFT80	geneM2
SIRT2	geneM2
ERLEC1	geneM1
PPP2R5B	geneM1
PYGM	geneM3
MAST4	geneM13
GPR116	geneM0
SDK2	geneM2
NUP133	geneM0
NUCKS1	geneM0
VPS35	geneM1
DNAJA2	geneM9
BCL3	geneM5
KCNAB2	geneM1
ABCC9	geneM3
GAL	geneM0
CLEC2D	geneM0
FUNDC1	geneM0
MAOB	geneM5
RORA	geneM3
DRD4	geneM0
TGFBR3	geneM3
KIAA1107	geneM1
ATP1B3	geneM7
NEDD4	geneM3
PIGB	geneM1
MAPK6	geneM0
GNB5	geneM1
RAB27A	geneM5
CECR5	geneM0
UFD1L	geneM20
LRP6	geneM2
PHRF1	geneM11
IKBKAP	geneM24
NUCB2	geneM11
PFN2	geneM1
PTPN3	geneM1
SPTB	geneM0
DAPP1	geneM6
FGF10	geneM0
SLC44A1	geneM2
TMEM260	geneM0
SMG6	geneM5
EXOC5	geneM0
CLTCL1	geneM0
FGF22	geneM1
FSTL3	geneM5
DGCR2	geneM0
RNF126	geneM4
MNT	geneM7
ZXDC	geneM2
JMJD6	geneM10
POLB	geneM0
ST6GALNAC1	geneM26
WIPI1	geneM3
FRMPD1	geneM4
GBA2	geneM25
NDST1	geneM2
ASNS	geneM1
AP3M2	geneM9
CNGB1	geneM31
ST6GALNAC2	geneM0
PABPC1	geneM7
TESK2	geneM2
C16orf80	geneM9
CSNK2A2	geneM7
PTPN21	geneM3
EIF2B3	geneM9
CAMK2A	geneM1
TCOF1	geneM0
CDC42	geneM18
OSBPL3	geneM0
EPHA8	geneM0
RAD18	geneM4
ATP2B1	geneM1
NCK2	geneM13
MAP4K4	geneM2
MGAT4A	geneM0
RPL31	geneM15
WDR1	geneM5
SNX13	geneM34
ARHGAP10	geneM1
RPS6KA2	geneM2
ING3	geneM0
VASH1	geneM18
LMCD1	geneM2
WBSCR22	geneM0
SEL1L	geneM2
TRIP13	geneM0
ATP6AP1	geneM7
TCF3	geneM3
TRIB2	geneM21
DAZAP1	geneM20
MBD3	geneM12
HLTF	geneM8
FAM50A	geneM11
FAM3A	geneM2
CPSF1	geneM0
CYBRD1	geneM3
CDH19	geneM2
PDCD2	geneM0
SLC6A15	geneM16
RDH11	geneM0
PRKACA	geneM7
LPHN1	geneM0
ACTN1	geneM1
ZFYVE26	geneM4
RPS6KA6	geneM0
EPN2	geneM2
PTPN18	geneM0
LIMS2	geneM26
ASIC4	geneM23
SPEG	geneM12
LNX1	geneM1
ALDH3A2	geneM0
TFRC	geneM3
SREBF1	geneM3
TRPC5	geneM1
AFF4	geneM5
UBE2D1	geneM17
MPP5	geneM29
RHOBTB1	geneM1
SMC1A	geneM11
HSD17B10	geneM3
MARK2	geneM7
HMMR	geneM0
CHFR	geneM28
TRHDE	geneM1
P4HA2	geneM10
FCGR2B	geneM0
NFATC3	geneM0
TRNT1	geneM0
ACADVL	geneM3
STK10	geneM6
FBXW11	geneM0
ACAP1	geneM0
CRMP1	geneM28
EVC	geneM3
DERL2	geneM5
SIDT1	geneM1
NDE1	geneM2
MRVI1	geneM3
TMEM38A	geneM1
AP1M1	geneM7
PVR	geneM0
IKBKG	geneM0
XRCC1	geneM0
SCARB1	geneM0
MCM2	geneM0
MOV10L1	geneM0
PANX2	geneM1
SELO	geneM14
ALPK1	geneM6
LLGL2	geneM2
PDE8A	geneM2
CLCN4	geneM1
NLE1	geneM28
SDHA	geneM9
SMARCE1	geneM18
GSDMB	geneM24
KDM5A	geneM11
ADAM11	geneM1
PPP2R3A	geneM2
FERMT2	geneM3
DHRS9	geneM6
PTGS2	geneM0
IGF2BP2	geneM0
MAP3K13	geneM7
ST6GAL1	geneM6
VDAC1P1	geneM0
FRY	geneM1
PICALM	geneM2
NSF	geneM1
GLI2	geneM3
CLASP1	geneM0
MRPS34	geneM2
NOTCH3	geneM26
CLNS1A	geneM0
PPP2R2C	geneM1
TEAD2	geneM5
EED	geneM10
CDHR2	geneM0
SNCB	geneM0
TSG101	geneM7
C17orf85	geneM2
ATP2A3	geneM0
CA12	geneM3
MGLL	geneM3
NTN4	geneM0
BCS1L	geneM22
NUAK1	geneM1
DPP8	geneM4
SLC24A1	geneM4
ZNF532	geneM3
SCARF1	geneM0
LMAN1	geneM3
PTPLAD1	geneM3
IPCEF1	geneM1
ZZEF1	geneM19
ENO1	geneM3
SLC12A1	geneM1
C19orf10	geneM0
ANO8	geneM3
TUBE1	geneM8
ARHGEF10L	geneM3
TXK	geneM0
WSCD2	geneM1
KCNQ2	geneM12
TACR2	geneM1
ACTR6	geneM0
TIPIN	geneM0
SRI	geneM3
EIF4G3	geneM1
NUP37	geneM4
SEMA3A	geneM0
GTSE1	geneM0
SEMA3C	geneM2
TTC38	geneM3
ACAT1	geneM0
GRAMD4	geneM3
CELSR1	geneM0
ZNF638	geneM14
SLC25A40	geneM1
TIMM21	geneM0
ADD2	geneM1
RASAL2	geneM1
VPS9D1	geneM8
ZNF37A	geneM0
MARK3	geneM14
SLC25A3	geneM9
FNDC3B	geneM5
FOSL2	geneM5
CACNG5	geneM4
CACNG4	geneM3
FRYL	geneM2
TMEM131	geneM0
FSCN1	geneM2
ACTB	geneM7
PLD1	geneM2
ATP12A	geneM0
WDR62	geneM0
DLG1	geneM2
RAB7A	geneM7
BCAP29	geneM1
SEC31B	geneM8
SART3	geneM19
ARHGAP15	geneM6
TUBA3D	geneM1
EXOSC7	geneM0
KIFAP3	geneM7
MKRN2	geneM13
MCM6	geneM28
REXO2	geneM0
RBM7	geneM0
RBMS2	geneM3
BAZ2A	geneM7
PTPN23	geneM7
MLH1	geneM0
UNG	geneM3
FMO4	geneM2
KLHL20	geneM0
RGS11	geneM8
SLC46A1	geneM3
PLXNA2	geneM1
SPAG5	geneM1
ANKRD13A	geneM2
TPD52	geneM1
ACACB	geneM3
TRAF4	geneM3
PAG1	geneM5
GPATCH1	geneM0
ICAM3	geneM0
NT5C2	geneM3
MCAM	geneM4
GPC4	geneM3
MBNL3	geneM3
CAMSAP3	geneM0
RAP1GAP	geneM1
XAB2	geneM0
ARHGEF1	geneM2
