"","Set","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"11","C4A-negative",1,TRUE,0.014,816,931,76,0.082,0.093,"GO:0050877","BP",44,"nervous system process",1,"TAC1,PAFAH1B1,OAT,RIMS1,GSK3B,PPEF1,P2RX6,CELF4,CACNA1F,HTR2A,NDRG4,SCN1B,STX1A,NPTX2,POU6F2,PPP3CB,CPEB3,GLRB,KCNA1,FIG4,IMPG1,HMGCR,ARL6,FGF12,GLS,RGS4,NR4A3,PAIP2,ATXN1,OPN5,GRIA3,EIF2AK4,SNAP25,SYT4,ATP8A2,CHL1,SCN2A,BBS7,PPP3CA,RDH12,ADCYAP1,SNCA,PLK2,HTR2C,CRH,SHC3,CNTN5,GRIA4,UCHL1,OTOA,SYNJ1,ELAVL4,RHO,CDK5,NETO1,TUB,KCNAB1,DRD5,CAMTA1,NPAS4,RTP1,RIMS2,KCNA2,GRM8,TMIE,DRD1,CALHM1,CCK,OR14I1,HRH1,SCN8A,PGAP1,ADARB1,MYO5A,BHLHB9,PJA2"
"12","C4A-negative",1,TRUE,0.0478,255,931,29,0.031,0.114,"GO:0050890","BP",44,"cognition",2,"TAC1,PAFAH1B1,HTR2A,NDRG4,NPTX2,PPP3CB,CPEB3,HMGCR,PAIP2,ATXN1,EIF2AK4,SNAP25,SYT4,CHL1,PLK2,CRH,SHC3,SYNJ1,ELAVL4,CDK5,NETO1,KCNAB1,DRD5,NPAS4,DRD1,CCK,HRH1,BHLHB9,PJA2"
"13","C4A-negative",1,TRUE,0.0203,226,931,28,0.03,0.124,"GO:0007611","BP",44,"learning or memory",3,"TAC1,PAFAH1B1,HTR2A,NDRG4,NPTX2,PPP3CB,CPEB3,HMGCR,PAIP2,ATXN1,EIF2AK4,SNAP25,SYT4,PLK2,CRH,SHC3,SYNJ1,ELAVL4,CDK5,NETO1,KCNAB1,DRD5,NPAS4,DRD1,CCK,HRH1,BHLHB9,PJA2"
"14","C4A-negative",1,TRUE,0.0465,219,931,26,0.028,0.119,"GO:0032409","BP",13,"regulation of transporter activity",1,"CACNB1,GAL,GNB5,PTPN3,TESC,NDFIP2,SCN1B,KCNA1,FGF12,UBQLN1,ATP1B1,CNIH3,SNCA,CRH,AKAP6,HOMER1,KCNC2,NETO1,KCNAB1,PRKCE,SCN4B,CACNB4,CHP1,MYO5A,RYR2,STK39"
"15","C4A-negative",1,TRUE,0.00277,454,931,51,0.055,0.112,"GO:0034762","BP",13,"regulation of transmembrane transport",1,"ATG5,CACNB1,GAL,GNB5,PTPN3,TESC,CACNA1F,SCN1B,GRB10,TSPAN13,PRKAG2,KCNA1,C2CD5,CRBN,FGF12,KCNIP3,RGS4,NR4A3,UBQLN1,SCN2A,ATP1B1,KCNH1,CNIH3,SNCA,CRH,PAK1,AKAP6,HOMER1,PID1,UBASH3B,KCNMA1,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,PRKCE,KCND3,DPP10,SCN4B,KCNA2,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CHP1,SCN8A,MYO5A,RYR2,STK39"
"16","C4A-negative",1,TRUE,0.0452,207,931,25,0.027,0.121,"GO:0022898","BP",13,"regulation of transmembrane transporter activity",2,"CACNB1,GAL,GNB5,PTPN3,TESC,SCN1B,KCNA1,FGF12,UBQLN1,ATP1B1,CNIH3,SNCA,CRH,AKAP6,HOMER1,KCNC2,NETO1,KCNAB1,PRKCE,SCN4B,CACNB4,CHP1,MYO5A,RYR2,STK39"
"17","C4A-negative",1,TRUE,7.74e-05,927,931,96,0.103,0.104,"GO:0006812","BP",13,"cation transport",1,"FKBP4,SLC6A7,ATP6V0A1,ATG5,CACNB1,SYT1,GAL,GNB5,PTPN3,ATP2B1,TRPC5,TMEM38A,NSF,SLC25A3,TESC,SLC7A8,P2RX6,ATP6V1D,CACNA1F,HTR2A,NDFIP2,SCN1B,TSPAN13,SLC1A1,SLC22A18,KCNA1,COX7A2,CLDN16,FGF12,ATP6V1A,KCNIP3,COX7A2L,RGS4,SLC36A1,MCHR1,ATP6V1E1,COX7B,SYT4,UBQLN1,KCNK1,SCN2A,TRPC3,PPP3CA,MTMR6,NIPA2,CLTC,ADCYAP1,ATP1B1,KCNH1,CNIH3,SLC20A1,SLC4A10,SLC10A4,SNCA,KLHL3,SHROOM2,HTR2C,ATP6V1B2,CRH,ITPR1,AKAP6,HOMER1,UBASH3B,ATP6V1C1,KCNMA1,SLC2A6,ORAI2,MFI2,SLC9B2,SFXN1,HCN1,KCNV1,CDK5,KCNC2,NETO1,KCNAB1,PRKCE,KCNK3,KCND3,DPP10,SCN4B,KCNA2,COX5A,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CHP1,NDUFA4,SCN8A,SLC39A10,MYO5A,RYR2,STK39,FAM155A"
"18","C4A-negative",1,TRUE,4.58e-05,427,931,55,0.059,0.129,"GO:0015672","BP",13,"monovalent inorganic cation transport",2,"ATP6V0A1,GAL,PTPN3,TMEM38A,NSF,SLC25A3,TESC,HTR2A,SCN1B,KCNA1,COX7A2,FGF12,ATP6V1A,KCNIP3,COX7A2L,RGS4,SLC36A1,ATP6V1E1,COX7B,KCNK1,SCN2A,MTMR6,ADCYAP1,ATP1B1,KCNH1,SLC20A1,SLC4A10,SLC10A4,KLHL3,SHROOM2,ATP6V1B2,AKAP6,ATP6V1C1,KCNMA1,SLC2A6,SLC9B2,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,PRKCE,KCNK3,KCND3,DPP10,SCN4B,KCNA2,COX5A,KCNB2,DRD1,KCNQ5,CHP1,NDUFA4,SCN8A,STK39"
"19","C4A-negative",1,TRUE,0.000111,737,931,80,0.086,0.109,"GO:0030001","BP",13,"metal ion transport",2,"FKBP4,ATP6V0A1,ATG5,CACNB1,GAL,GNB5,PTPN3,ATP2B1,TRPC5,TMEM38A,NSF,TESC,ATP6V1D,CACNA1F,HTR2A,NDFIP2,SCN1B,TSPAN13,KCNA1,CLDN16,FGF12,ATP6V1A,KCNIP3,RGS4,MCHR1,ATP6V1E1,UBQLN1,KCNK1,SCN2A,TRPC3,PPP3CA,MTMR6,NIPA2,CLTC,ADCYAP1,ATP1B1,KCNH1,SLC20A1,SLC4A10,SLC10A4,SNCA,KLHL3,SHROOM2,HTR2C,ATP6V1B2,CRH,ITPR1,AKAP6,HOMER1,UBASH3B,ATP6V1C1,KCNMA1,ORAI2,MFI2,SLC9B2,SFXN1,HCN1,KCNV1,CDK5,KCNC2,NETO1,KCNAB1,PRKCE,KCNK3,KCND3,DPP10,SCN4B,KCNA2,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CHP1,SCN8A,SLC39A10,MYO5A,RYR2,STK39,FAM155A"
"20","C4A-negative",1,TRUE,0.00602,205,931,28,0.03,0.137,"GO:0006813","BP",13,"potassium ion transport",3,"GAL,TMEM38A,NSF,HTR2A,KCNA1,KCNIP3,RGS4,KCNK1,MTMR6,ADCYAP1,ATP1B1,KCNH1,AKAP6,KCNMA1,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,KCNK3,KCND3,DPP10,KCNA2,KCNB2,DRD1,KCNQ5,CHP1,STK39"
"21","C4A-negative",1,TRUE,3.37e-05,933,931,98,0.105,0.105,"GO:0034220","BP",13,"ion transmembrane transport",1,"SLC6A7,GABRA1,ATP6V0A1,ATG5,CACNB1,GAL,GNB5,PTPN3,ATP2B1,TRPC5,TMEM38A,SLC25A3,TESC,SLC7A8,P2RX6,ATP6V1D,CACNA1F,HTR2A,SCN1B,TSPAN13,SLC1A1,GLRB,KCNA1,COX7A2,GABRG2,CRBN,CLDN16,FGF12,ATP6V1A,KCNIP3,COX7A2L,RGS4,SLC16A7,SLC36A1,GRIA3,ATP6V1E1,COX7B,UNC79,UBQLN1,KCNK1,SCN2A,TRPC3,MTMR6,NIPA2,ATP1B1,MPC2,KCNH1,CNIH3,SLC20A1,SLC4A10,UNC80,SNCA,SHROOM2,HTR2C,ATP6V1B2,CRH,HTR3B,ITPR1,AKAP6,HOMER1,GRIA4,ANKH,UBASH3B,ATP6V1C1,KCNMA1,SLC2A6,ORAI2,SLC9B2,SFXN1,HCN1,KCNV1,SLC25A32,KCNC2,NETO1,KCNAB1,PRKCE,KCNK3,KCND3,DPP10,SCN4B,KCNA2,COX5A,GABRG3,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CHP1,NDUFA4,SCN8A,SLC39A10,LRRC8B,MYO5A,RYR2,STK39,FAM155A,SLC35B4"
"22","C4A-negative",1,TRUE,2.04e-05,688,931,79,0.085,0.115,"GO:0098660","BP",13,"inorganic ion transmembrane transport",2,"GABRA1,ATP6V0A1,ATG5,CACNB1,GAL,GNB5,PTPN3,ATP2B1,TRPC5,TMEM38A,SLC25A3,TESC,CACNA1F,HTR2A,SCN1B,TSPAN13,SLC1A1,GLRB,KCNA1,COX7A2,GABRG2,CLDN16,FGF12,ATP6V1A,KCNIP3,COX7A2L,RGS4,SLC36A1,ATP6V1E1,COX7B,UBQLN1,KCNK1,SCN2A,TRPC3,MTMR6,NIPA2,ATP1B1,KCNH1,SLC20A1,SLC4A10,SNCA,SHROOM2,HTR2C,ATP6V1B2,ITPR1,AKAP6,ANKH,UBASH3B,ATP6V1C1,KCNMA1,SLC2A6,ORAI2,SLC9B2,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,PRKCE,KCNK3,KCND3,DPP10,SCN4B,KCNA2,COX5A,GABRG3,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CHP1,NDUFA4,SCN8A,SLC39A10,MYO5A,RYR2,STK39,FAM155A"
"23","C4A-negative",1,TRUE,2.73e-05,694,931,79,0.085,0.114,"GO:0098655","BP",13,"cation transmembrane transport",2,"SLC6A7,ATP6V0A1,ATG5,CACNB1,GAL,GNB5,PTPN3,ATP2B1,TRPC5,TMEM38A,SLC25A3,TESC,P2RX6,CACNA1F,HTR2A,SCN1B,TSPAN13,SLC1A1,KCNA1,COX7A2,CLDN16,FGF12,ATP6V1A,KCNIP3,COX7A2L,RGS4,SLC36A1,ATP6V1E1,COX7B,UBQLN1,KCNK1,SCN2A,TRPC3,MTMR6,NIPA2,ATP1B1,KCNH1,CNIH3,SLC20A1,SLC4A10,SNCA,SHROOM2,HTR2C,ATP6V1B2,CRH,ITPR1,AKAP6,HOMER1,UBASH3B,ATP6V1C1,KCNMA1,SLC2A6,ORAI2,SLC9B2,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,PRKCE,KCNK3,KCND3,DPP10,SCN4B,KCNA2,COX5A,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CHP1,NDUFA4,SCN8A,SLC39A10,MYO5A,RYR2,STK39,FAM155A"
"24","C4A-negative",1,TRUE,2.73e-05,623,931,73,0.078,0.117,"GO:0098662","BP",13,"inorganic cation transmembrane transport",3,"ATP6V0A1,ATG5,CACNB1,GAL,GNB5,PTPN3,ATP2B1,TRPC5,TMEM38A,SLC25A3,TESC,CACNA1F,HTR2A,SCN1B,TSPAN13,KCNA1,COX7A2,CLDN16,FGF12,ATP6V1A,KCNIP3,COX7A2L,RGS4,SLC36A1,ATP6V1E1,COX7B,UBQLN1,KCNK1,SCN2A,TRPC3,MTMR6,NIPA2,ATP1B1,KCNH1,SLC20A1,SLC4A10,SNCA,SHROOM2,HTR2C,ATP6V1B2,ITPR1,AKAP6,UBASH3B,ATP6V1C1,KCNMA1,SLC2A6,ORAI2,SLC9B2,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,PRKCE,KCNK3,KCND3,DPP10,SCN4B,KCNA2,COX5A,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CHP1,NDUFA4,SCN8A,SLC39A10,MYO5A,RYR2,STK39,FAM155A"
"25","C4A-negative",1,TRUE,0.0286,113,931,17,0.018,0.15,"GO:1902600","BP",13,"proton transmembrane transport",4,"ATP6V0A1,SLC25A3,TESC,COX7A2,ATP6V1A,COX7A2L,SLC36A1,ATP6V1E1,COX7B,SLC4A10,ATP6V1B2,ATP6V1C1,SLC2A6,SLC9B2,COX5A,CHP1,NDUFA4"
"26","C4A-negative",1,TRUE,0.023,110,931,17,0.018,0.155,"GO:0035725","BP",13,"sodium ion transmembrane transport",4,"PTPN3,TESC,SCN1B,FGF12,KCNK1,SCN2A,ATP1B1,SLC20A1,SHROOM2,SLC9B2,HCN1,NETO1,PRKCE,SCN4B,CHP1,SCN8A,STK39"
"27","C4A-negative",1,TRUE,0.0122,539,931,55,0.059,0.102,"GO:0043269","BP",13,"regulation of ion transport",1,"ATG5,CACNB1,SYT1,GAL,GNB5,PTPN3,TESC,CACNA1F,HTR2A,SCN1B,TSPAN13,KCNA1,CRBN,FGF12,KCNIP3,RGS4,MCHR1,SYT4,ATP8A2,UBQLN1,SCN2A,TRPC3,ADCYAP1,ATP1B1,KCNH1,CNIH3,SNCA,CRH,AKAP6,HOMER1,UBASH3B,KCNMA1,SV2A,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,PRKCE,KCND3,DPP10,SCN4B,KCNA2,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CYP4A11,CCK,CHP1,SCN8A,MYO5A,RYR2,STK39"
"28","C4A-negative",1,TRUE,0.0272,314,931,35,0.038,0.111,"GO:0010959","BP",13,"regulation of metal ion transport",2,"ATG5,CACNB1,GAL,GNB5,PTPN3,TESC,HTR2A,SCN1B,TSPAN13,KCNA1,FGF12,KCNIP3,RGS4,MCHR1,UBQLN1,TRPC3,ADCYAP1,ATP1B1,SNCA,CRH,AKAP6,HOMER1,UBASH3B,KCNC2,NETO1,KCNAB1,PRKCE,DPP10,SCN4B,CACNB4,DRD1,CHP1,MYO5A,RYR2,STK39"
"29","C4A-negative",1,TRUE,0.0244,82,931,14,0.015,0.171,"GO:0043266","BP",13,"regulation of potassium ion transport",3,"GAL,HTR2A,KCNA1,KCNIP3,RGS4,ADCYAP1,ATP1B1,AKAP6,KCNC2,NETO1,KCNAB1,DPP10,DRD1,STK39"
"30","C4A-negative",1,TRUE,0.00265,382,931,45,0.048,0.118,"GO:0034765","BP",13,"regulation of ion transmembrane transport",2,"ATG5,CACNB1,GAL,GNB5,PTPN3,TESC,CACNA1F,SCN1B,TSPAN13,KCNA1,CRBN,FGF12,KCNIP3,RGS4,UBQLN1,SCN2A,ATP1B1,KCNH1,CNIH3,SNCA,CRH,AKAP6,HOMER1,UBASH3B,KCNMA1,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,PRKCE,KCND3,DPP10,SCN4B,KCNA2,CACNB4,KCNB2,DRD1,KCNQ5,CALHM1,CHP1,SCN8A,MYO5A,RYR2,STK39"
"31","C4A-negative",1,TRUE,0.0147,266,931,32,0.034,0.12,"GO:1904062","BP",13,"regulation of cation transmembrane transport",3,"ATG5,CACNB1,GAL,GNB5,PTPN3,TESC,SCN1B,TSPAN13,KCNA1,FGF12,KCNIP3,RGS4,UBQLN1,ATP1B1,CNIH3,SNCA,CRH,AKAP6,HOMER1,UBASH3B,KCNC2,NETO1,KCNAB1,PRKCE,DPP10,SCN4B,CACNB4,DRD1,CHP1,MYO5A,RYR2,STK39"
"32","C4A-negative",1,TRUE,0.0293,177,931,23,0.025,0.13,"GO:0071804","BP",13,"cellular potassium ion transport",1,"GAL,TMEM38A,KCNA1,KCNIP3,RGS4,KCNK1,MTMR6,ATP1B1,KCNH1,AKAP6,KCNMA1,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,KCNK3,KCND3,DPP10,KCNA2,KCNB2,KCNQ5,STK39"
"33","C4A-negative",1,TRUE,0.0293,177,931,23,0.025,0.13,"GO:0071805","BP",13,"potassium ion transmembrane transport",2,"GAL,TMEM38A,KCNA1,KCNIP3,RGS4,KCNK1,MTMR6,ATP1B1,KCNH1,AKAP6,KCNMA1,HCN1,KCNV1,KCNC2,NETO1,KCNAB1,KCNK3,KCND3,DPP10,KCNA2,KCNB2,KCNQ5,STK39"
"34","C4A-negative",1,TRUE,0.0484,52,931,10,0.011,0.192,"GO:1902305","BP",13,"regulation of sodium ion transmembrane transport",1,"PTPN3,TESC,SCN1B,FGF12,ATP1B1,NETO1,PRKCE,SCN4B,CHP1,STK39"
"35","C4A-negative",1,TRUE,0.0147,43,931,10,0.011,0.233,"GO:2000649","BP",13,"regulation of sodium ion transmembrane transporter activity",1,"PTPN3,TESC,SCN1B,FGF12,ATP1B1,NETO1,PRKCE,SCN4B,CHP1,STK39"
"36","C4A-negative",1,TRUE,0.023,46,931,10,0.011,0.217,"GO:0007029","BP",35,"endoplasmic reticulum organization",1,"REEP1,UBL4A,RTN4,RAB3GAP2,ATL2,SEC16B,VAPB,RTN3,SPTSSB,ATL1"
"37","C4A-negative",1,TRUE,0.0122,15,931,6,0.006,0.4,"GO:0071786","BP",35,"endoplasmic reticulum tubular network organization",2,"REEP1,RTN4,RAB3GAP2,ATL2,RTN3,ATL1"
"38","C4A-negative",1,TRUE,0.0414,4,931,3,0.003,0.75,"GO:1990809","BP",35,"endoplasmic reticulum tubular network membrane organization",3,"RTN4,ATL2,ATL1"
"39","C4A-negative",1,TRUE,0.0166,770,931,72,0.077,0.094,"GO:0060284","BP",11,"regulation of cell development",1,"FKBP4,ARHGAP44,PAFAH1B1,HDAC9,FSTL4,SYT1,GAL,TRPC5,RARB,PAK3,MAP2,RIMS1,GSK3B,DNM1L,RANBP1,CRKL,LGALS1,MCF2,STK24,ARHGEF7,NDRG4,SCN1B,CPEB3,PRPF19,FIG4,RTN4,MARK1,RGS4,ITGB1BP1,TRIM32,BCL11A,RAP2A,EFNB2,RNF112,EIF2AK4,OLFM1,SNAP25,SYT4,ATP8A2,PLXNC1,ZNF365,PPP3CA,ADCYAP1,SYT2,CPNE9,CNTN4,PLK2,PAK1,AKAP6,BEND6,SYNJ1,SERPINI1,MFI2,SLC9B2,CDK5,RET,NDEL1,ENC1,LIG4,VWC2L,RIMS2,BDNF,CAMK1D,NAP1L2,DCC,VWC2,DNM3,SMURF1,BHLHB9,PLXNA4,ETV5,MIR29B1"
"40","C4A-negative",1,TRUE,0.0034,208,931,29,0.031,0.139,"GO:0060560","BP",11,"developmental growth involved in morphogenesis",1,"PAFAH1B1,FSTL4,SYT1,GAL,TRPC5,MAP2,RIMS1,GSK3B,PPP3CB,RTN4,BCL11A,NRN1,FLRT3,EIF2AK4,OLFM1,SYT4,DCLK1,SYT2,CPNE9,PAK1,CDK5,NDEL1,RAPH1,RIMS2,BDNF,DCC,SMURF1,PLXNA4,FMN1"
"41","C4A-negative",1,TRUE,0.0198,579,931,57,0.061,0.098,"GO:0031344","BP",11,"regulation of cell projection organization",1,"FKBP4,ARHGAP44,PAFAH1B1,FSTL4,ATG5,NCKAP1,SYT1,VPS35,PFN2,TRPC5,PAK3,MAP2,RIMS1,GSK3B,DNM1L,RANBP1,LGALS1,MCF2,STK24,ARHGEF7,NDRG4,SCN1B,CPEB3,FIG4,RTN4,MARK1,FAM98A,BCL11A,PLS1,RAP2A,EFNB2,OLFM1,SNAP25,SYT4,ATP8A2,PLXNC1,ZNF365,PPP3CA,ADCYAP1,SYT2,CPNE9,PLK2,PAK1,HOMER1,SERPINI1,CDK5,RET,NDEL1,ENC1,RIMS2,BDNF,CAMK1D,DCC,DNM3,SMURF1,BHLHB9,PLXNA4"
"42","C4A-negative",1,TRUE,0.0147,571,931,57,0.061,0.1,"GO:0120035","BP",11,"regulation of plasma membrane bounded cell projection organization",2,"FKBP4,ARHGAP44,PAFAH1B1,FSTL4,ATG5,NCKAP1,SYT1,VPS35,PFN2,TRPC5,PAK3,MAP2,RIMS1,GSK3B,DNM1L,RANBP1,LGALS1,MCF2,STK24,ARHGEF7,NDRG4,SCN1B,CPEB3,FIG4,RTN4,MARK1,FAM98A,BCL11A,PLS1,RAP2A,EFNB2,OLFM1,SNAP25,SYT4,ATP8A2,PLXNC1,ZNF365,PPP3CA,ADCYAP1,SYT2,CPNE9,PLK2,PAK1,HOMER1,SERPINI1,CDK5,RET,NDEL1,ENC1,RIMS2,BDNF,CAMK1D,DCC,DNM3,SMURF1,BHLHB9,PLXNA4"
"43","C4A-negative",1,TRUE,0.000205,593,931,67,0.072,0.113,"GO:0032990","BP",11,"cell part morphogenesis",1,"POLDIP2,ARHGAP44,PAFAH1B1,PIK3CB,FSTL4,SYT1,TRPC5,NTN4,USP33,PAK3,MAP2,RIMS1,EPB41L3,GSK3B,DNM1L,MCF2,STK24,ARHGEF7,SCN1B,GRB10,PPP3CB,RTN4,NR4A3,BCL11A,NRN1,DOK4,RAP2A,EFNB2,PANK2,FLRT3,EIF2AK4,OLFM1,SYT4,ATP8A2,DCLK1,CHL1,PLXNC1,ZNF365,PPP3CA,SYT2,CPNE9,CNTN4,SH3KBP1,SHC3,PAK1,PID1,UCHL1,ELAVL4,CDK5,HPRT1,RET,NDEL1,GFRA2,RAPH1,FBXO45,RIMS2,BDNF,CCK,DCC,ADARB1,DNM3,ATL1,SMURF1,BHLHB9,DOK6,PLXNA4,FMN1"
"44","C4A-negative",1,TRUE,0.000271,198,931,31,0.033,0.157,"GO:0048588","BP",11,"developmental cell growth",1,"PAFAH1B1,FSTL4,MAP2K4,SYT1,GAL,TRPC5,MAP2,RIMS1,GSK3B,PPP3CB,RTN4,RGS4,BCL11A,NRN1,FLRT3,EIF2AK4,OLFM1,SYT4,DCLK1,SYT2,CPNE9,PAK1,AKAP6,CDK5,NDEL1,RAPH1,RIMS2,BDNF,DCC,SMURF1,PLXNA4"
"45","C4A-negative",1,TRUE,0.000467,575,931,64,0.069,0.111,"GO:0048858","BP",11,"cell projection morphogenesis",1,"ARHGAP44,PAFAH1B1,PIK3CB,FSTL4,SYT1,TRPC5,NTN4,USP33,PAK3,MAP2,RIMS1,EPB41L3,GSK3B,DNM1L,MCF2,STK24,ARHGEF7,SCN1B,GRB10,PPP3CB,RTN4,NR4A3,BCL11A,NRN1,DOK4,RAP2A,EFNB2,FLRT3,EIF2AK4,OLFM1,SYT4,ATP8A2,DCLK1,CHL1,PLXNC1,ZNF365,PPP3CA,SYT2,CPNE9,CNTN4,SH3KBP1,SHC3,PAK1,UCHL1,ELAVL4,CDK5,HPRT1,RET,NDEL1,GFRA2,RAPH1,FBXO45,RIMS2,BDNF,CCK,DCC,ADARB1,DNM3,ATL1,SMURF1,BHLHB9,DOK6,PLXNA4,FMN1"
"46","C4A-negative",1,TRUE,0.000431,573,931,64,0.069,0.112,"GO:0120039","BP",11,"plasma membrane bounded cell projection morphogenesis",2,"ARHGAP44,PAFAH1B1,PIK3CB,FSTL4,SYT1,TRPC5,NTN4,USP33,PAK3,MAP2,RIMS1,EPB41L3,GSK3B,DNM1L,MCF2,STK24,ARHGEF7,SCN1B,GRB10,PPP3CB,RTN4,NR4A3,BCL11A,NRN1,DOK4,RAP2A,EFNB2,FLRT3,EIF2AK4,OLFM1,SYT4,ATP8A2,DCLK1,CHL1,PLXNC1,ZNF365,PPP3CA,SYT2,CPNE9,CNTN4,SH3KBP1,SHC3,PAK1,UCHL1,ELAVL4,CDK5,HPRT1,RET,NDEL1,GFRA2,RAPH1,FBXO45,RIMS2,BDNF,CCK,DCC,ADARB1,DNM3,ATL1,SMURF1,BHLHB9,DOK6,PLXNA4,FMN1"
